Symbol,StockPrice,DividendYearsPaid,DivPerYearPattern,ConsistentPayer,YearlyYieldDetails,DividendAmountsPKR,ConsistencyScore,Remarks,ExpectedDividend2025_PKR,ExpectedDividend2025_Percent,CalculationMethod
ABL,185.99,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 2.15% | 2024: 6.45% | 2023: 6.45% | 2022: 1.34%,2025: Rs.4.00 | 2024: Rs.12.00 | 2023: Rs.12.00 | 2022: Rs.2.50,100.0%,Perfect consistency: 3 consecutive years,Rs.1.51,0.81%,Growth trend
AKBL,68.25,"2024, 2023, 2022, 2020, 2019, 2018, 2017, 2016, 2015","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 4.40% | 2023: 3.66% | 2022: 2.20% | 2020: 4.40% | 2019: 2.20% | 2018: 1.47% | 2017: 1.47% | 2016: 2.20% | 2015: 3.30%,2024: Rs.3.00 | 2023: Rs.2.50 | 2022: Rs.1.50 | 2020: Rs.3.00 | 2019: Rs.1.50 | 2018: Rs.1.00 | 2017: Rs.1.00 | 2016: Rs.1.50 | 2015: Rs.2.25,100.0%,Minor gap detected but overall consistent: 9 years with dividends,Rs.2.42,3.54%,Growth trend
BAFL,87.92,"2025, 2024, 2023, 2022","2, 4, 2, 2",Yes,2025: 5.69% | 2024: 9.67% | 2023: 9.10% | 2022: 5.69%,2025: Rs.5.00 | 2024: Rs.8.50 | 2023: Rs.8.00 | 2022: Rs.5.00,100.0%,Perfect consistency: 3 consecutive years,Rs.3.92,4.45%,Growth trend
BAHL,171.89,"2025, 2024, 2023, 2022, 2021","1, 4, 3, 1, 1",Yes,2025: 2.04% | 2024: 9.89% | 2023: 8.14% | 2022: 4.07% | 2021: 4.07%,2025: Rs.3.50 | 2024: Rs.17.00 | 2023: Rs.14.00 | 2022: Rs.7.00 | 2021: Rs.7.00,100.0%,Perfect consistency: 4 consecutive years,Rs.5.42,3.15%,Growth trend
BIPL,33.7,"2024, 2023, 2022, 2019, 2014, 2008","2, 2, 1, 1, 2, 2",Yes,2024: 8.16% | 2023: 8.16% | 2022: 2.97% | 2019: 2.97% | 2014: 24.95% | 2008: 13.87%,2024: Rs.2.75 | 2023: Rs.2.75 | 2022: Rs.1.00 | 2019: Rs.1.00 | 2014: Rs.8.41 | 2008: Rs.4.67,100.0%,High consistency (100.0%): 6 years with dividends,Rs.10.59,31.42%,Growth trend
BOK,17.6,"2024, 2023, 2021, 2020, 2019, 2017, 2016, 2015, 2014, 2013","1, 1, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 9.66% | 2023: 8.52% | 2021: 2.84% | 2020: 8.52% | 2019: 2.84% | 2017: 8.52% | 2016: 8.52% | 2015: 7.10% | 2014: 5.68% | 2013: 6.32%,2024: Rs.1.70 | 2023: Rs.1.50 | 2021: Rs.0.50 | 2020: Rs.1.50 | 2019: Rs.0.50 | 2017: Rs.1.50 | 2016: Rs.1.50 | 2015: Rs.1.25 | 2014: Rs.1.00 | 2013: Rs.1.11,100.0%,"High consistency (100.0%): 10 years with dividends, Pattern: 1 dividends per year",Rs.1.40,7.93%,Growth trend
BOP,13.99,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2013","1, 1, 1, 1, 1, 1, 1, 1, 2",Yes,2024: 12.87% | 2023: 7.15% | 2022: 7.15% | 2021: 8.93% | 2020: 7.15% | 2019: 5.36% | 2018: 5.36% | 2017: 50.04% | 2013: 105.02%,2024: Rs.1.80 | 2023: Rs.1.00 | 2022: Rs.1.00 | 2021: Rs.1.25 | 2020: Rs.1.00 | 2019: Rs.0.75 | 2018: Rs.0.75 | 2017: Rs.7.00 | 2013: Rs.14.69,100.0%,High consistency (100.0%): 9 years with dividends,Rs.30.83,220.37%,Growth trend
FABL,76.98,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 1.95% | 2024: 9.09% | 2023: 5.20% | 2022: 8.44%,2025: Rs.1.50 | 2024: Rs.7.00 | 2023: Rs.4.00 | 2022: Rs.6.50,100.0%,Perfect consistency: 3 consecutive years,Rs.7.14,9.27%,Growth trend
HBL,241.98,"2025, 2024, 2023","2, 4, 4",Yes,2025: 3.72% | 2024: 6.72% | 2023: 4.03%,2025: Rs.9.00 | 2024: Rs.16.25 | 2023: Rs.9.75,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year",Rs.13.00,5.37%,Average of last 2 years
HMB,109.65,"2025, 2024, 2023, 2022, 2021","1, 4, 2, 2, 1",Yes,2025: 2.28% | 2024: 10.94% | 2023: 9.58% | 2022: 2.96% | 2021: 2.74%,2025: Rs.2.50 | 2024: Rs.12.00 | 2023: Rs.10.50 | 2022: Rs.3.25 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years,Rs.2.11,1.92%,Growth trend
MCB,362.45,"2025, 2024, 2023, 2022","1, 4, 3, 2",Yes,2025: 2.48% | 2024: 9.93% | 2023: 6.62% | 2022: 3.31%,2025: Rs.9.00 | 2024: Rs.36.00 | 2023: Rs.24.00 | 2022: Rs.12.00,100.0%,Perfect consistency: 3 consecutive years,Rs.7.00,1.93%,Growth trend
MEBL,364.8,"2025, 2024, 2023, 2022","1, 4, 4, 1",Yes,2025: 1.92% | 2024: 7.68% | 2023: 5.48% | 2022: 0.82%,2025: Rs.7.00 | 2024: Rs.28.00 | 2023: Rs.20.00 | 2022: Rs.3.00,100.0%,Perfect consistency: 3 consecutive years,Rs.1.30,0.36%,Growth trend
SCBPL,68.0,"2024, 2023, 2022, 2021","3, 3, 2, 2",Yes,2024: 12.87% | 2023: 13.24% | 2022: 5.88% | 2021: 4.41%,2024: Rs.8.75 | 2023: Rs.9.00 | 2022: Rs.4.00 | 2021: Rs.3.00,100.0%,Perfect consistency: 4 consecutive years,Rs.2.22,3.27%,Growth trend
SNBL,24.15,"2024, 2023, 2022, 2021, 2020, 2019, 2018, 2017, 2016","2, 1, 1, 1, 1, 1, 1, 1, 1",Yes,2024: 12.42% | 2023: 12.42% | 2022: 4.14% | 2021: 6.21% | 2020: 5.18% | 2019: 4.14% | 2018: 4.14% | 2017: 3.11% | 2016: 5.18%,2024: Rs.3.00 | 2023: Rs.3.00 | 2022: Rs.1.00 | 2021: Rs.1.50 | 2020: Rs.1.25 | 2019: Rs.1.00 | 2018: Rs.1.00 | 2017: Rs.0.75 | 2016: Rs.1.25,100.0%,Perfect consistency: 9 consecutive years,Rs.1.23,5.10%,Growth trend
UBL,377.0,"2025, 2024, 2023","2, 4, 4",Yes,2025: 7.16% | 2024: 11.67% | 2023: 11.67%,2025: Rs.27.00 | 2024: Rs.44.00 | 2023: Rs.44.00,100.0%,"Perfect consistency: 2 consecutive years, Pattern: 4 dividends per year",Rs.44.00,11.67%,Average of last 2 years
